,loss,accuracy,val_loss,val_accuracy
0,1.543544292,0.264444441,1.388347626,0.296666652
1,1.423280478,0.277777791,1.387444258,0.213333338
2,1.399881601,0.26111111,1.38283658,0.266666681
3,1.391640544,0.25777778,1.384050727,0.296666652
4,1.378499627,0.25,1.383651018,0.270000011
5,1.378980279,0.268888891,1.385630846,0.293333322
6,1.376416802,0.288888901,1.384915709,0.286666662
7,1.38165164,0.277777791,1.384747982,0.280000001
8,1.377519846,0.294444442,1.383849502,0.24333334
9,1.37652576,0.285555542,1.383464575,0.266666681
10,1.375499725,0.294444442,1.383919239,0.280000001
11,1.380413771,0.293333322,1.383505344,0.266666681
12,1.370862603,0.291111112,1.382721305,0.25999999
13,1.372664571,0.297777772,1.383804679,0.303333342
14,1.370491266,0.322222233,1.382758021,0.270000011
15,1.369747758,0.305555552,1.381377339,0.303333342
16,1.36672461,0.302222222,1.38122952,0.280000001
17,1.369816184,0.286666662,1.380767226,0.300000012
18,1.372731805,0.325555563,1.381562471,0.266666681
19,1.364907503,0.307777792,1.380252957,0.286666662
20,1.358432651,0.326666653,1.381271362,0.263333321
21,1.358225465,0.310000002,1.379046679,0.296666652
22,1.348995328,0.334444433,1.381028652,0.263333321
23,1.34585166,0.333333343,1.377556086,0.273333341
24,1.339641094,0.335555553,1.376078367,0.283333331
25,1.351841092,0.341111124,1.376031637,0.296666652
26,1.334573269,0.348888874,1.375492811,0.286666662
27,1.339422703,0.341111124,1.374759316,0.286666662
28,1.324929237,0.361111104,1.376043439,0.283333331
29,1.332390189,0.335555553,1.376181602,0.270000011
30,1.32296288,0.335555553,1.375504851,0.25999999
31,1.311234593,0.372222215,1.375585198,0.289999992
32,1.307771325,0.371111125,1.379466295,0.276666671
33,1.306717277,0.383333325,1.372659206,0.276666671
34,1.328449488,0.334444433,1.376785755,0.280000001
35,1.304504991,0.384444445,1.373093724,0.286666662
36,1.314740419,0.374444455,1.372959852,0.276666671
37,1.281456113,0.406666666,1.373113394,0.293333322
38,1.266102672,0.441111118,1.366628766,0.293333322
39,1.25465703,0.436666667,1.368103504,0.280000001
AVG,1.354367504,0.324027778,1.379455686,0.278666666
MIN,1.25465703,0.25,1.366628766,0.213333338
MAX,1.543544292,0.441111118,1.388347626,0.303333342
