,loss,accuracy,val_loss,val_accuracy
0,1.39430809,0.274444431,1.389194846,0.270000011
1,1.380520463,0.284444451,1.386184454,0.276666671
2,1.377036572,0.285555542,1.382533669,0.266666681
3,1.36979413,0.296666652,1.383369327,0.300000012
4,1.36568296,0.285555542,1.378410459,0.340000004
5,1.360512018,0.298888892,1.376439452,0.293333322
6,1.35580802,0.289999992,1.3797611,0.283333331
7,1.352155089,0.306666672,1.369645357,0.323333323
8,1.351534009,0.328888893,1.375459075,0.25999999
9,1.359049201,0.318888903,1.373144507,0.330000013
10,1.35282135,0.296666652,1.371087909,0.310000002
11,1.355637312,0.305555552,1.368816376,0.313333333
12,1.353378177,0.324444443,1.370860219,0.286666662
13,1.343922853,0.340000004,1.361512899,0.330000013
14,1.344074607,0.318888903,1.360155702,0.316666663
15,1.343391538,0.330000013,1.362939239,0.333333343
16,1.34136343,0.334444433,1.362008691,0.316666663
17,1.3332026,0.337777764,1.357673883,0.336666673
18,1.332579374,0.331111103,1.355456948,0.310000002
19,1.337318897,0.306666672,1.360871077,0.323333323
20,1.32877481,0.333333343,1.354905367,0.343333334
21,1.32826674,0.345555544,1.356752992,0.330000013
22,1.324058533,0.351111114,1.348360777,0.346666664
23,1.320344567,0.343333334,1.347851992,0.363333344
24,1.338477612,0.331111103,1.3487252,0.346666664
25,1.318026662,0.346666664,1.346384883,0.336666673
26,1.317893863,0.314444453,1.353883266,0.343333334
27,1.334142089,0.319999993,1.357037663,0.313333333
28,1.322939754,0.346666664,1.350549579,0.330000013
29,1.331595898,0.341111124,1.346017838,0.343333334
30,1.319875479,0.336666673,1.350815892,0.340000004
31,1.312601447,0.354444444,1.351664066,0.316666663
32,1.318793893,0.336666673,1.349719286,0.346666664
33,1.311837435,0.340000004,1.35839963,0.280000001
34,1.327650309,0.316666663,1.346540809,0.319999993
35,1.314073563,0.336666673,1.354421735,0.323333323
36,1.317253828,0.364444435,1.352212071,0.326666653
37,1.319506645,0.340000004,1.342667699,0.360000014
38,1.321978927,0.346666664,1.341064692,0.363333344
39,1.302914381,0.381111115,1.342004657,0.366666675
40,1.311826229,0.365555555,1.3425107,0.343333334
41,1.301390052,0.357777774,1.342486024,0.340000004
42,1.312121749,0.343333334,1.344707966,0.313333333
43,1.302118421,0.365555555,1.340908766,0.353333324
44,1.299348116,0.366666675,1.33667171,0.366666675
45,1.29085052,0.363333344,1.346754193,0.333333343
46,1.31486249,0.334444433,1.348188519,0.330000013
47,1.302348375,0.356666654,1.345250726,0.340000004
48,1.301856041,0.349999994,1.349313021,0.330000013
49,1.298758626,0.366666675,1.339667439,0.376666665
50,1.304440379,0.354444444,1.338559985,0.343333334
51,1.281945825,0.388888896,1.346365094,0.313333333
52,1.299510956,0.372222215,1.343669057,0.343333334
53,1.297113657,0.358888894,1.333789468,0.393333346
54,1.294597626,0.382222235,1.340034842,0.336666673
55,1.288351178,0.378888875,1.331894398,0.383333325
56,1.286340833,0.383333325,1.344244003,0.349999994
57,1.297143817,0.362222224,1.337795854,0.346666664
58,1.283954144,0.375555545,1.332264423,0.360000014
59,1.287236571,0.387777776,1.33025229,0.356666654
60,1.280246973,0.366666675,1.345745206,0.323333323
61,1.303390741,0.361111104,1.343595624,0.333333343
62,1.27314055,0.406666666,1.339413166,0.333333343
63,1.286348224,0.377777785,1.336968541,0.349999994
64,1.284459591,0.378888875,1.335610509,0.373333335
65,1.295212269,0.363333344,1.334839106,0.343333334
66,1.282701373,0.389999986,1.336151719,0.360000014
67,1.278063059,0.367777765,1.339528561,0.330000013
68,1.279498339,0.370000005,1.330874681,0.346666664
69,1.253231645,0.407777786,1.328356028,0.346666664
70,1.266128778,0.401111126,1.340329051,0.333333343
71,1.26380837,0.386666656,1.337333441,0.353333324
72,1.267770886,0.398888886,1.332470179,0.353333324
73,1.273351669,0.404444456,1.338758945,0.373333335
74,1.279861808,0.384444445,1.336945415,0.343333334
75,1.258322716,0.393333346,1.330727339,0.343333334
76,1.263277531,0.394444436,1.332586288,0.353333324
77,1.26019299,0.384444445,1.331150055,0.353333324
78,1.257074237,0.389999986,1.328818202,0.363333344
79,1.264478803,0.392222226,1.338226676,0.346666664
80,1.245936632,0.426666677,1.317527413,0.370000005
81,1.270831943,0.378888875,1.333388925,0.319999993
82,1.271389604,0.381111115,1.332284093,0.340000004
83,1.263970137,0.397777766,1.328240991,0.389999986
84,1.259171844,0.398888886,1.333958626,0.333333343
85,1.258963466,0.395555556,1.34114778,0.333333343
86,1.253573418,0.413333327,1.335855961,0.330000013
87,1.250005722,0.415555567,1.335180521,0.340000004
88,1.251048088,0.414444447,1.330322266,0.360000014
89,1.268113256,0.383333325,1.340453506,0.319999993
90,1.24932003,0.394444436,1.346797466,0.289999992
91,1.252209783,0.393333346,1.332757592,0.343333334
92,1.244570255,0.393333346,1.336971641,0.336666673
93,1.258916616,0.387777776,1.326763868,0.346666664
94,1.246336699,0.386666656,1.341879487,0.310000002
95,1.252284884,0.403333336,1.342601895,0.340000004
96,1.245994687,0.407777786,1.333858848,0.333333343
97,1.252104044,0.400000006,1.339980841,0.333333343
98,1.232649565,0.402222216,1.337950706,0.316666663
99,1.244645,0.401111126,1.339544177,0.326666653
100,1.233560562,0.433333337,1.328895926,0.336666673
AVG,1.299676926,0.361045104,1.346491337,0.334851487
MIN,1.232649565,0.274444431,1.317527413,0.25999999
MAX,1.39430809,0.433333337,1.389194846,0.393333346
